,DECLARANT,PARTNER,TCI_2001,TCI_2002,TCI_2003,TCI_2004,TCI_2005,TCI_2006,TCI_2007,TCI_2008,TCI_2009,TCI_2010,TCI_2011,TCI_2012,TCI_2013,TCI_2014,TCI_2015,TCI_2016,TCI_2017
<<<<<<< HEAD
28,AT,BQ,,,,,,,,,,,,,6.9755672179945885,5.031364048413808,4.79468842476016,4.753401684753216,4.149667661967365
29,AT,BR,1.2510287610348207,1.422360822439972,1.4952941476589026,1.3067917572759555,1.4489204752455105,1.4283318902092488,1.4266719497811082,1.360815519882293,1.4848179592974664,1.3009343572187952,1.199431451682433,1.3712832816169416,1.1995524015367311,1.1970366105397798,1.2978731683481621,1.1926213543887845,1.5252380555558962
30,AT,BS,4.611347430108992,5.1432624614191464,5.442441630709297,3.630817799680252,3.965592631400604,4.424538076711576,2.8997728488575203,3.094135682358895,3.5893114297362096,4.317368680867111,3.0659247083716124,3.694364123914437,3.077794445720342,3.0859283577215715,3.364422776850465,3.062999585880976,3.893408960510132
31,AT,BT,2.428024592513538,1.7884684665355697,0.9979839059208588,2.374448462408851,3.633360247820121,2.321218118103675,2.9211987020108765,1.8191462062835568,1.8497582925050449,2.6119840096543765,1.3798423279490144,2.0251256520721985,0.8478440732265116,1.9923683523643705,3.9650317583751633,2.550291621375397,1.4498347557527664
32,AT,BV,,3.771936129348724,1.0701113710556298,0.6400776805391221,3.1325921830151104,,,,,,,5.970994519146623,,,,,
33,AT,BW,3.034116542092076,4.452469526138292,3.828798419067352,3.4372471010809136,3.299717038483972,2.9386829218957966,3.5956191329425065,4.695436635172701,5.012187390922696,3.137904283077456,4.6888486128279805,5.1971947057867585,6.036007554927907,4.0503419340040105,3.270347100211692,4.3123650445261195,3.095527388147623
34,AT,BY,1.5367438112766083,1.4390604281681505,1.3434153884440665,1.2286550897561024,1.2280919270667714,1.117647564234906,1.1614251972515766,1.107161764318769,1.096236183453688,0.969563319714696,1.0045096692639492,1.0383595127005971,1.0468660763653124,0.8346014465188688,0.8894909237301439,1.1720082834772096,1.295732954297723
35,AT,BZ,3.0644204450318795,3.479007338283441,2.552308794530954,2.5834677222380744,3.0297889053721008,3.0653131339849016,2.767135090608483,2.3588628997724284,3.6092657256468783,2.094677318848749,2.344037822516753,2.952587424237612,2.434076803913646,3.0598781975937284,2.5955970403915725,2.29149459366759,2.710575480599008
36,AT,CA,1.3009754691276412,1.4001525617884398,1.4610796395298116,1.4417992161676096,1.3912093225427102,1.4459134034690198,1.4877137571622316,1.4576543161274806,1.4543497936924767,1.448184362732173,1.4252783675777958,1.3584677532857083,1.3759691454553604,1.2339842603816942,1.1208915118267218,1.1742979593437213,1.1154478683576092
37,AT,CC,,7.291361840500637,2.550649287962165,5.5604014866285585,4.876433381939166,,,,,,,3.4291129873808424,,,,,
38,AT,CD,3.311509524260297,3.16712882288551,4.3296993951293485,4.1769735741314085,3.995412222616713,3.945515434339685,2.785255333952831,3.4733909953388324,3.909717409288086,2.9110253982629466,3.518070299038834,3.1198506168508464,3.1205938196326857,2.724898745835865,3.517254389231642,3.3684856138623687,3.205116902423584
39,AT,CF,3.7514982134163706,3.668147944526235,3.5801227271494684,3.372157360860207,4.7765890342845525,3.5782879895774804,4.453834594204787,5.093473165924057,4.283572160506567,5.0773574333153535,4.512064155729142,4.8897097459251055,4.716067133005215,4.000989243278819,6.336994942378112,3.6395950974817537,2.7940515219623627
40,AT,CG,3.6281386066826657,3.9495844873019137,3.67631274457485,2.764250453958464,2.7232568665313055,2.6058684017779834,2.276128585890288,3.5071438730083053,2.9610763269188936,2.260414394727667,3.277434459962137,2.6421370341720207,2.7172466741915247,2.994549005611592,3.340890924359288,2.7036535277365514,3.063991673494811
41,AT,CH,0.7441009781599396,0.7722090939916959,0.6871309028242888,0.6718858075504991,0.831613654249116,0.7163106784455225,0.7061614436126239,0.7505614554313721,0.6048129143098488,0.6570656744191438,0.8687923265074945,0.8175514074637256,1.0489929508564722,0.8461451288136407,0.8701486134079046,0.806775809899288,0.8321910368054576
42,AT,CI,3.0782921393298657,2.5278677336980504,3.6011140478275188,2.7002224199988123,2.8039513590635945,3.712161782962563,3.035425673245697,3.3179024446359,3.206062589023297,3.574227734838075,3.65528328277192,3.4516823320278136,3.2653420659173187,3.5875956171494177,3.19382813952933,3.116221484420264,3.242332696804184
43,AT,CK,,2.3426533651019805,2.9682797994284846,,5.2090229322174055,,5.861393842554879,6.006469598489712,,3.5986182179043373,5.22007915723856,5.1442797542041445,,,4.308704648232951,5.8240336672152,5.525648348983783
44,AT,CL,1.7265565585990157,1.7957876475810253,1.4673868353197672,1.4983423863083492,1.451011438973376,1.7389539764650233,1.5234219336161554,1.658685956751579,1.7011691232314747,1.6481876986173178,1.5643120734022151,1.5032774310893249,1.5803963018019445,1.5005267984181925,1.3154999928407305,1.4370364732393135,1.2730807257633998
45,AT,CM,3.0318431335295104,2.9530215503136867,3.0398734302475305,3.725845577372743,3.653873688436493,4.0794868782025056,3.2883168272299708,3.3329502432359774,2.6964363319525004,3.4210946325619287,3.3101951682252486,3.2245024692304467,3.3222118865558063,2.9737010646600663,2.8202075676804967,2.8992890040628936,2.8922232757103505
46,AT,CN,1.0741800742088077,1.1229313274303294,1.0996375849740827,0.9466288547605228,1.071910373978741,1.1403455327947054,1.0525812844836058,1.0321177926169645,1.0086924123762282,1.0125091730885414,1.0567150965746703,0.9722846476723545,1.0275229770875172,0.9679129861622692,1.09045025841154,1.065780506023563,1.1149515360825235
47,AT,CO,1.827489247421412,1.940487698884289,1.9253935729495169,1.5884542788524172,1.9076998204948648,1.7315064563424172,1.6242602789286964,1.7763621451184226,1.7179509866278295,1.69445433042508,1.5262562747480508,1.5334081379532802,1.5499867672105443,1.5544353652099026,1.3388183281830917,1.3173298476062305,1.4179813926210676
48,AT,CR,2.5351774755576613,2.576462980596019,2.659561163856817,1.8647806764840125,2.7706911999732498,2.863094943161415,2.9008700971243906,2.6574780477168267,1.94115893153116,1.9749272773570328,2.206476355672317,2.5128356700971266,2.0385568346779186,1.900590826475293,2.0329969377625865,1.9068248960598189,1.929719493642377
49,AT,CS,,,,0.6007296592127828,0.7440101148362416,,,,,,,,,,,,
50,AT,CU,3.3709864912143024,3.120973323100849,3.5067222706761707,3.4525738928873384,4.331338725097827,3.6542968145636743,3.2943920560748703,3.3243852321244867,3.0253767266389704,3.4208284083627816,3.31368619621598,3.5940660420882464,3.215571794936252,3.493982695095057,3.428361930915727,3.5224613995876837,3.2226402062513815
